GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1982-01-01,1982,1982,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,108.31251,108.3 [101.0-116.2]
GHED_GGHE-DCHE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%),2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,,,,42.81,42.81
AIR_35,Joint effects of air pollution attributable deaths,2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,2108.562,2109 [1648-2489]
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2004-01-01,2004,2004,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,71.11714,71.1 [62.4-78.7]
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,19.6,19.6 [16.9-22.7]
MORT_200,Deaths per 1 000 live births,2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,8.62417,8.6
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),2006-01-01,2006,2006,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,11.74945,11.7 [8.1-16.2]
UHC_SCI_CAPACITY,UHC Service Coverage sub-index on service capacity and access,2019-01-01,2019,2019,AFR,Africa,KEN,Kenya,,,,34.48905,34
NCD_CCS_Statins,General availability of statins in the public health sector,2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,,,,62344.04821834804,No
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_NONE_PRIMARY,None and primary education,7.6,7.6 [6.5-8.9]
W5_top_side_A,Health warnings on cigarette packaging must be placed at the top of the principal display areas of the package,2020-01-01,2020,2020,AFR,Africa,KEN,Kenya,,,,62344.04821834804,No
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP80,Wealth - Top 80%,5.1,5.1 [4.2-6.1]
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",2018-01-01,2018,2018,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,0.137,0 [0-0]
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,28.9,28.9 [22.8-35.9]
WHOSIS_000001,Life expectancy at birth (years),2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,58.55064,58.6 [57.7-59.2]
LBW_NUMBER,Low birth weight number (in thousands),2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,,,,158.0,158.0 [143.4-174.0]
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1993-01-01,1993,1993,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS24-29,24 to 29 months,6.6,6.6 [4.8-9.1]
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),2021-01-01,2021,2021,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,45.0,45
SA_0000001818,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections",2029-01-01,2029,2029,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,3.12618,3.1 [1.2 - 5.1]
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1969-01-01,1969,1969,AFR,Africa,KEN,Kenya,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.01,0.01
W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,,,,40.0,40
NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,1.2,1.2 [1.0-1.3]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.0466,0
NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",1994-01-01,1994,1994,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,2.5,2.5 [2.2-2.8]
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1996-01-01,1996,1996,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,0.97071,1.0 [0.1-3.1]
MDG_0000000003,Adolescent birth rate (per 1000 women),2019-01-01,2019,2019,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,51.32,51.3
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,7.8,7.8 [5.6-10.6]
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1964-01-01,1964,1964,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,177.5851,177.6 [164.2-191.9]
SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",2002-01-01,2002,2002,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,8.41204,8.4 [3.3 - 14.2]
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,10.52533,10.5 [5.5-17.4]
MORT_100,Number of deaths,2002-01-01,2002,2002,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,105.54035,105.5
TB_c_new_tsr,Treatment success rate: new TB cases,2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,,,,81.0,81
NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",1998-01-01,1998,1998,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,1.1,1.1 [0.9-1.3]
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2004-01-01,2004,2004,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,7.9,7.9 [2.5 - 16.8]
NUT_BF_EVBF,Ever breastfed,1989-01-01,1989,1989,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,96.9,96.9
HIV_0000000006,Number of people dying from HIV-related causes,2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,,,,140000.0,140 000 [110 000 - 200 000]
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2017-01-01,2017,2017,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,2.5522,2.6 [1.4-4.4]
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1963-01-01,1963,1963,AFR,Africa,KEN,Kenya,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,All types,3.42,3.42
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1998-01-01,1998,1998,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,7.9,7.9 [6.2-10.1]
AIR_60,Household and ambient air pollution attributable DALYs,2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,122874.119,122 874 [96 492-145 790]
E_compl_e13,Compliance with ban on appearance of tobacco brands in TV and/or films (score),2022-01-01,2022,2022,AFR,Africa,KEN,Kenya,,,,62344.04821834804,. . .
NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,1.0,1.0 [0.9-1.2]
AIR_11,Household air pollution attributable deaths,2013-01-01,2013,2013,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,113.918,114 [99-127]
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2019-01-01,2019,2019,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,35993.72,35994 [23772-52048]
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),1996-01-01,1996,1996,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.11505,0.12 [0 - 0.73]
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,36.853,37 [23-56]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.02887,0
NCD_PAC_ADO,Insufficiently active (crude estimate),2013-01-01,2013,2013,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,86.86497,86.9 [84.3-89.1]
O_NRT_sold,Nicotine replacement therapy - legally sold,2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,,,,62344.04821834804,Yes
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_TOTAL,Total,28.7,28.7 [20.7-38.4]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0,0
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1993-01-01,1993,1993,AFR,Africa,KEN,Kenya,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,11.7,11.7 [9.6-14.2]
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,,,,36.0,36
NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,21.7768,21.8 [15.7-29.5]
WHS4_543,BCG immunization coverage among 1-year-olds (%),2009-01-01,2009,2009,AFR,Africa,KEN,Kenya,,,,99.0,99
DEVICES22,Total density per million population: Radiotherapy units,2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,,,,0.02,0.02
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1998-01-01,1998,1998,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,5.66818,5.7 [2.2-11.3]
CM_02,Number of infant deaths,2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,27363.0,27 363 [25 208-29 523]
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),1962-01-01,1962,1962,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,45.85312,45.9 [40.3-53.9]
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_MODERATE,Moderate,10.6,10.6 [6.3-16.6]
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.01589,0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1955-01-01,1955,1955,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,252.69532,252.7 [226.7-282.9]
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2013-01-01,2013,2013,AFR,Africa,KEN,Kenya,,,,6606885.0,6 606 885
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2022-01-01,2022,2022,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS48-53,48 to 53 months,1.8,1.8 [1.1-3.0]
GHED_PVT-D_pc_US_SHA2011,Domestic private health expenditure (PVT-D) per capita in US$,2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,,,,12.77,12.77
WHOSIS_000015,Life expectancy at age 60 (years),2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,16.52107,16.5 [16.2-16.8]
NUT_BF_EVBF,Ever breastfed,2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP80,Wealth - Top 80%,97.1,97.1 [96.0-97.9]
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",2021-01-01,2021,2021,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,8.56739,8.6 [6.4-11.0]
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),2009-01-01,2009,2009,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,28.54329,29
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",2018-01-01,2018,2018,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,1.00283,1.0 [0.5 - 1.6]
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,3.4,3.4 [2.3-5.0]
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,15.52567,15.5 [13.4-17.8]
RSUD_280,Financing methods for treatment for drug use disorders,2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,PROGRAMME,PROGRAMME_IN_PATIENT_TREATMENT,In-patient treatment,62344.04821834804,Households
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,6.6,6.6 [4.8-9.1]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS24-59,24 to 59 months,6.4,6.4 [5.6-7.3]
AIR_7,Ambient air pollution attributable DALYs,2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,6172.446,6172 [1275-15 026]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.2797,0.3
W19_colours_numbers_C,Smokeless tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,2022-01-01,2022,2022,AFR,Africa,KEN,Kenya,,,,62344.04821834804,Yes
WHS3_49,Poliomyelitis - number of reported cases,1998-01-01,1998,1998,AFR,Africa,KEN,Kenya,,,,109.0,109
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_TOTAL,Total,27.0,27.0 [17.2-38.6]
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2019-01-01,2019,2019,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,21.1,21.1 [7.9 - 40.3]
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0.4,0.4 [0 - 1.6]
CM_02,Number of infant deaths,1998-01-01,1998,1998,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,71405.0,71 405 [67 544-75 435]
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,67.5105,67.5 [56.0-77.0]
HIV_0000000024,Estimated antiretroviral therapy coverage among children,2019-01-01,2019,2019,AFR,Africa,KEN,Kenya,,,,69.0,69 [53 - 86]
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1993-01-01,1993,1993,AFR,Africa,KEN,Kenya,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.69,0.69
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",2018-01-01,2018,2018,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,53.107,53 [40-63]
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_MILD,Mild,161.0,161 [129-192]
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,3.7,3.7 [3.4-4.1]
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2022-01-01,2022,2022,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS24-59,24 to 59 months,1.6,1.6 [1.2-2.1]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1994-01-01,1994,1994,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,6.2,6.2 [4.0-9.6]
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",1999-01-01,1999,1999,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,14.95298,15.0 [11.6-18.6]
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,11.50009,11.5 [10.5 - 12.6]
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),2021-01-01,2021,2021,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,58.21708,58.2 [57.6-59.0]
M_Est_smk_curr_std,Estimate of current tobacco smoking prevalence (%) (age-standardized rate),2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,1.8,1.8 [1.3-2.3]
MORT_100,Number of deaths,2017-01-01,2017,2017,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,8318.87986,8319
NUT_BF_EIBF,"Early Initiation of Breastfeeding, Children born in the last 24 months",2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),52.5,52.5 [46.7-58.2]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,3.3,3.3 [2.3-4.6]
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,10.74488,10.7 [9.7 - 11.9]
MORT_200,Deaths per 1 000 live births,2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0041,0
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,,,,58.93,58.93
MORT_300,Distribution of causes of death among children aged < 5 years (%),2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00849,0
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002-01-01,2002,2002,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,36.6,36.6 [27.6-45.1]
CM_02,Number of infant deaths,2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,54070.0,54 070 [50 536-57 652]
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,5.9,5.9 [4.1-8.5]
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,1.29495,1.3 [0.9-1.8]
